Company Name,Year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Status
C_21,2012,0.43,0.44,17.63,4.11,0.38,19.44,0.34,-0.02,0.28,-0.08,0.09,0
C_22,2012,6.92,0.42,40.63,0.72,6.79,0,-0.15,0.03,0.04,-0.06,0.71,1
C_23,2012,0.77,0.47,1.21,1.63,0.45,1.1,0.4,-0.15,0.03,-0.14,0.06,0
C_24,2012,0.11,0.08,9.17,1.65,0.08,-3.7,-1.52,0.11,-0.14,2.01,-0.33,0
C_25,2012,2.04,0.57,1.95,1.88,1.89,0.74,0.83,0.02,0.2,0.33,0.61,1
C_26,2012,1.54,0.3,2.76,3.95,0.91,1.91,0.32,0.16,-0.51,0.05,0.05,1
C_27,2012,9.02,0.62,1.36,2.55,4.98,29.07,0.46,-0.08,1.87,-0.03,0.8,1
C_28,2012,0.74,1.19,60.39,12.98,0.71,28.24,0.51,-0.08,1.36,-0.01,0.63,0
C_29,2012,1.77,0.59,2.43,2.28,0,2.34,0.32,0.46,1.1,1.32,-0.72,1
C_30,2012,5.74,0.28,4,7.09,3.53,5.7,0.19,0.01,1.45,-0.33,0.85,1
C_31,2012,0.51,0.7,3.44,2.71,0.42,-1.61,0.74,0.03,0.06,0.41,0.11,0
C_32,2012,2.05,1.62,8.87,5.01,1.6,24.93,0.11,-0.13,0.62,0.71,0.4,1
C_33,2012,0.67,0.12,2.05,1.9,0.48,-3.43,0.56,0.04,-0.36,2.35,0.08,0
C_34,2012,0.25,0.24,3.63,1.37,0.18,-1.25,0.07,0.12,-0.03,0.33,-0.46,0
C_35,2012,0.26,1.14,0,0,0,-5.95,0.15,0.26,0,1.02,-0.62,0
C_36,2012,1.58,1.61,4.47,6.39,0.66,1.63,0.1,-0.12,0.12,-0.02,0.34,1
C_37,2012,3.99,0.47,4.76,5.02,2.92,-6.84,0.07,-0.02,1.19,-0.19,0.55,1
